MODERN-STANDARD-ARABIC,ALGIERS,ANNABA,SYRIAN,PALESTINIAN
w fy >Hd Al>yAm dEt Alzwjp >hlhA llE$A' ،  Ahtmt bhm w b>bnA}hA w >hmlt Alytym,fy wAHd AlnhAr ErDt lmrA mAlyhA ytE$Aw tlhAt mEAhm w mEA wlAdhA w nsAt Alytym,fy wHd AlnhAr ErDt AlmrA mAlAhA ytE$Aw tlhAt fyhm w fy wlAdhA w hmlt Alytym,dA}mA AlxdAmp btdyr bAlA Elyh w btEml $gl Albyt,dA}mA thtm fyh Al$gAlp w t$tgl kmAn b$gl AldAr
HtY AlxAdmp An$glt bAlm>dbp w nsyt AlSgyr,HtY AlxdAmp tlhAt bAlErDp w nsAt Alwld,HtY AlxdAmp tlhAt bAlErDp w nsAt AlTfl,w bywm mn *At Al>yAm Ezmt Almrp >hlA E AlE$A w twSt fyw~n w bwlAdA w >hmlt Alytym,w fy ywm mn Al>yAm Ezmt mrth >hlhA llE$A' w Ahtmt fyhm w bwlAdhA w >hmlt Alytym
<ltm $ml AlEA}lp EndhA w >x*wA ytjA*bwn >TrAf AlHdyv HtY jA' mwEd AlE$A' ، >x* ynZr <lY lTEAm yryd >n y>kl mnh,tlAqAt lAfAmy qﺎE EndhA w qEdwA yqSrw Ht jA wqt lE$A wlA y$wf fAlmAklp bA$ yAkl,HtY AlxdAmp tlhAt bAlErDp w nsAt AlTfl,HtY AlxAdmp An$glt bAlEzymp w nst AlSgyr,HtY Al$gAlp An$glt bAlEzwmp w nsyt AlSgyr
ﺃETth zwjp ﺃbyh bED Aﻷrz fy SHn w qAlt lh:  A*hb mn hnA w tnAwl E$A}k fy AlsAHp,tlAqAt lAfAmy qﺎE EndhA w qEdwA yqSrw Ht jA wqt lE$A wlA y$wf fAlmAklp bA$ yAkl,tlmt lAfAmy Alkl EndhA w qﻌﺪwA ytwAnswA HtAn jA wqt AlE$A wlY yxzr llmAklp bAh ywkl mnhA,<ltm $ml AlEylp EndA >EdwA ytsAyrwA HtY <jA mwEd AlE$A w SAr yTl~E bAl>kl lyAkl mnw,<ltm $ml AlEylp EndhA w SArwA yHkwA lmA AjY mEAd AlE$A' SAr yTlE llAkl E$An yAkl mnh
ﺃETth zwjp ﺃbyh bED Aﻷrz fy SHn w qAlt lh:  A*hb mn hnA w tnAwl E$A}k fy AlsAHp,ETAtw mrt bAbAh $wyh rwz fy Tbsy w qAtlw rwH mn hnA w kwl fy lAkwr,ETAth mrt bAbAh $wyh rwz fy SHn w qﺎtlh rwH mn hnA w kwl E$Ak fy lAkwr,ETtw mrp >bwh $wyp rz bSHn w |ltlw rwH mn hwn w kwl E$Ak bAlsAHp,>ETth mrt >bwh $wyp rz fy SHn w qAltlh rwH mn hAn w kl E$Ak fy AlsAHp
jls AlTfl fy Albrd AlqArS y>kl Aﻷrz w mn $dp Albrd Ankm$ xlf >Hd Al>bwAb,qEd Alwld fy Albrd yksr yAkl fy Alrwz w tAlmwn Albrd tkm$ mwr wAHd AlbybAn,qﻌﺪ AlTfl fy Albrd Ally yksr ywkl fy Alrwz w tAlmwn Albrd tkm$ wrA wHd AlbybAn,qEd Alwld bAlzmhryr yAkl Alrz w mn $dp Albrd Ankm$ wrA AlbAb,qEd Alwld fy AlsqEp Alkrs yAkl Alrz w mn ktr Albrd <nkm$ wrA wAHd mn AlbwAb
AlxAdmp An$glt fy Al>EmAl Almnzlyp w nAm AlTfl fy mkAnh,AlxdAmp ltAt fy Al$gl tAE AldAr rqd Alwld fy blAStw,AlxdAmp tlhAt fy AlqDyp tAE AldAr w rqﺪ AlTfl fy blASth,AlxdAmp An$glt b$gl Albyt w Alwld nAm bmTrHw,Al$gAlp An$glt fy Al>EmAl Almnzlyp w nAm AlTfl fy mkAnh
gAdr >hl Alzwjp bEd >n Ast>nswA w >klwA w bEd *lk >mrt zwjp Al>b AlxAdmp >n tnZf Albyt w |wt <lY frA$hA w lm tklf nfshA HtY Als&Al En AlSgyr,rAHw mAlyn lmrA bEdmA qSrw w klAw >wmbEd qAlt mrt bAbAh llxdAmp bA$ txml AldAr w rAHt trqd blA mA $qAt rwHhA HtY tsqsy ElY Alwld,rwHwA mAlyn AlmrA bEd mA twAnswA w klAwA w AmbEd qﺎlt mrt bAbAh llxdAmp bAh tnZf AldAr w rAHt trqﺪ blA mA $qAt rwHhA HtY tsqsy ElY AlSgyr,rAHwA >hl Almrp bEd mA Ast>nswA w >klw w bEdA >mrt mrp Al>b AlxAdmp >nw tnD~f Albyt w rAHt hy tnAm w mA kl~ft HAlA HtY bAls&Al En AlSgyr,rwHwA >hl mrth bEd mA tslwA w >klwA w bEd hyk qAlt mrt Al>b ll$gAlp AnhA tnZf AldAr w rAHt tnAm wmA klft$ HtY Als&Al En AlSgyr
EAd zwjhA mn AlEml w s>lhA En Abnh,wlA rAjlhA mn Alxdmp sqsAhA ElY wlydw,rwH rAjlhA mn Alxdmp sqsAhA ElY wldh,rAHwA >hl Almrp bEd mA Ast>nswA w >klw w bEdA >mrt mrp Al>b AlxAdmp >nw tnD~f Albyt w rAHt hy tnAm w mA kl~ft HAlA HtY bAls&Al En AlSgyr,rjE jwzhA mn Al$gl w s>lhA En Abnh
qAlt lh ﺇnh mE AlxAdmp,qAltlw rAhw mE AlxdAmp,qAlt lh ﺁw mE AlxdAmp,rjE zwjA mn Al$gl w s>lA En Abnw,rjE jwzhA mn Al$gl w s>lhA En Abnh
w hy lA tdry hl hw mEhA >m lA,w hy mA ElAbAlhA$ ﺁskw mEAhA wlA lAlA,w hy mA EmbAlhA$ ﺁskw mEAhA wlA lA,qAltlw >n~w mE AlxAdmp,qAltlh Anh mE Al$gAlp
nAm >bwh w >vnA' nwmh r>Y zwjth Al>wlY tqwl lh Ahtm bwldk,rqd bAbAh w nAm mrtw lwlA qAltlw Antbh lwlydk,w hy mA EmbAlhA$ ﺁskw mEAhA wlA lA,w hy mw ErfAnp <*A kAn mEA >w lA,w hy m$ EArfp Anh mEhA wAlA l>
AstyqZ m*EwrA w s>l zwjth En Abnh,rqd bAbAh w nAm mrtw lwlA qAltlw Antbh lwlydk,rqﺪ bAbAh w fy rqﺎdh Hlm bmrth Allwlp qAlt lh twlh bwldk,>bwh nAm w bnwmw $Af mrtw Al>wlAnyp Em tql~w Ahtm b>bnk,nAm >bwh w fy nwmh Hlm bmrth Al>wlY btqwlh dyr bAlk ElY Abnk
AstyqZ m*EwrA w s>l zwjth En Abnh,nAD mxlwE sqsA mrtw ElY wlydw,nAD mxlwE sqsY mrth ElY wldh,SHy mrEwb w s>l mrtw En Abnw,SHy mfzwE w s>l mrth En Abnh
Tm>nth >nh mE AlxAdmp w lm tklf nfshA >n tt>kd,TmnAtw bly rAhw mE AlxdAmp w mA $qAt$ rwHhA HtY tt>kd,TmnAth bAlly rAhw mE AlxdAmp w mA $qAt$ rwHhA HtY tt>kd,Tmntlw bAlw >nw mE AlxAdmp w mA kl~ft HAlA tt>kd,Tmnth Anh mE Al$gAlp w mA klft$ HAlhA AnhA tt>kd
nAm mrp >xrY w r>Y zwjth tqwl lh Ahtm bAbnk,zAd rqd mrp >xrA nAm mrtw tqwlw Antbh lwlydk,zAd rqﺪ mrp >xrY Hlm bmrth tqwl lh twlh bwldk,nAm mrp tAnyp w Hlm bmrtw Al>wlY Em tql~w Ahtm b>bnk,nAm mrp tAnyp w Hlm bmrth btqwlh dyr bAlk ElY Abnk
AstyqZ m*EwrA mrp >xrY w s>l zwjth En Alwld,nAD mxlwE mrp wAHdxrA w sqsA mrtw ElY Alwld,nAD mxlwE mrh wAHd AxrY w sqsY mrth ElY AlTfl,SHy mrEwb mrp tAnyp w s>l mrtw En Alwld,SHy mfzwE mrp tAnyp w s>l mrth En Alwld
*hb ybHv En >bnh End AlxAdmp flm yjdh EndhA ، jn jnwnh,rAH yHws ElY wlydw End AlxdAmp mAﻟqAh$ EndhA hbl,rAH yHws ElY wldh End AlxdAmp mAﻟqﺎh$ EndhA hbl,SHy mrEwb mrp tAnyp w s>l mrtw En Alwld,rAH ydwr En Abnh End Al$gAlp wmA lAqAh EndhA jn jnwnh
SAr yrkD kAlmjnwn fy Albyt hnA w hnAk HtY wjdh wlkn mytA,wlA yjry ky Almhbwl fy AldAr hnA w lhyk bSH ﻟqAh mAt,wlY yjry zy Almhbwl fy AldAr hnA w lhyh HtY ﻟqﺎh bSH myt,rAH ydwr EAlwld End AlxAdmp fmA lqAh EndA qAm jn jnwnw,rAH ydwr En Abnh End Al$gAlp wmA lAqAh EndhA jn jnwnh
lAzlt >t*kr EndmA knt SgyrA,mAzlt ntfkr ky knt Sgyr,mAzlt ntfkr ky knt Sgyr,SAr yrkD mtl Almjnwn bAlbyt mn mHl lmHl HtY lqAh bs my~t,SAr yjry zy Almjnwn fy AldAr hAn w hnAk lmA lqAh wlkn myt
mkvt fy Almst$fY  >sbwEA mn jrA' brd w End xrwjy smEt AlTbyb yxbr wAldy b>n SHty jydp w lkn qd ykwn lh*A AlmrD t>vyr fy Almstqbl,dxlt lsbyTAr smAnp ElY jAl lwnjyn ky jyt xArj smEt AlTbyb ﻳqwl lbAbA bly rAny mlyH bSH qAdryn bﻠﻴﺘﺎr ykwnw dyzyfy llmrD hAdA,mAzlt ntfkr ky knt Sgyr,bEdny b*kr lmA knt Sgyr,lsAtny bt*kr lmA knt Sgyr
mDt snwAt،  >SbHt $AbAF vm tzwjt,dxlt lsbyTAr smAnp ElY jAl lwnjyn ky jyt xArj smEt AlTbyb ﻳqwl lbAbA bly rAny mlyH bSH qAdryn bﻠﻴﺘﺎr ykwnw dyzyfy llmrD hAdA,dxlt AlsbyTAr smAnp ElY jAl lwnjyn ky Edt xArj smEt AlTbyb ﻳqﻮl lbAbA bAlly SHty mlAHp bSH qAdryn bﻠﻴﺘﺎr ykwnwA dyzyfy llmrD >dA,dxlt Alm$fY lmdp >sbwE bsbb Albrd w lmA TlEt smEt Aldktwr Em yqwl l>by >nw SHty mnyHp bs mmkn ykwn lhAlmrDp t>vyr bAlmstqbl,fAtt Almst$fY lmdp >sbwE mn wrA Albrd w lmA TlEt smEt Aldktwr bqwl l>bwy Anh SHty mnyHp bs ymkn ykwn lh*A AlmrD t>vyr fy Almstqbl
mDt snwAt،  >SbHt $AbAF vm tzwjt,jAzw EwAm wlyt jwn >wmbEd zwjt,EdAt EwAm wlyt jwn w AmbEd zwzt,mrt Alsnyn w Srt $b w tzwjt,mrt snyn Srt $b wbEdyn tjwzt
>HyAnA >$Er bAltEb mn mjhwd Sgyr >b*lh,sAEp sAEp nHs bAlf$lp mn <yfwr Sgyr ndyrh,sAEp sAEp nHs bAlf$lp mn <yfwr Sgyr nEmlh,>HyAnA b$Er bAltEb bmjrd mA >b*l mjhwd Sgyr,mrAt bHs bAltEb mn mjhwd Sgyr bEmlh
*hbt <lY Almst$fY l<jrA' fHwSAt EAmp،  tbyn >n ldy DEfA fy DrbAt Alqlb,rHt lsbyTAr bA$ ndyr kwnsyltAsywn jynrAl bAn Endy fyblAs fy lybAtmwn dkwr tAEy,rHt llsbyTAr bAh ndyr kwnsyltAsywn jynrAl Zhr Endy fyblAs fy lybAtmwn dwkwr tyEy,rHt EAlm$fY l>Eml fHwSAt EAmp tby~n >nw Endy DEf bDrbAt Alqlb,rHt ElY Almst$fY lEml fHwSAt EAmp tbyn Anh Endy DEf fy DrbAt Alqlb
w >n h*A AlDEf mn jrA' Albrd Al*y >SAbny sAbqA ، >dY <lY rwmAtzm mfSly HAd fy Alqlb,w lAfyblAs hAdy jAtny mn lwnjyn ly Hkmtny bkry dArtly rwmAtyzm >gtykwlAr <ﻳqﻮ fy qlby,w lAfyblAs >dy jAtny mn lwnjyn Ally Hkmtny bkry dArtly rwmAtyzm >gtykwlAr <ﻳqﻮ fy qﻠﺒﻲ,w >nw hAlDEf bsbb Albrd Ally SAbny sAbqA >dY lrwmAtyzm mfSly HAd bAlqlb,w h*A AlDEf mn wrA Albrd Ally SAbny qbl hyk Emly rwmAtyzm mfSly HAd fy Alqlb
qAl ly AlTbyb:  yjb >n tjry Emlyp jrAHyp ElY mstwY Alqlb,qAly AlTbyb lAzmk >wbﻴﺮAsywn ElY qlbk,qAl ly AlTbyb lAzmk >wbﻴﺮAsywn ElY qﻠﺒﻚ,w >nw hAlDEf bsbb Albrd Ally SAbny sAbqA >dY lrwmAtyzm mfSly HAd bAlqlb,qAly Aldktwr blzmk Emlyp jrAHyp ElY mstwY Alqlb
qlt lh:  >lA ymkn >n |x* ftrp rAHp fqT >w >tbE ElAjA ؟ qAl ly ylzmk Emlyp jrAHyp ElY mstwY Alqlb,qltlw blAk ndyr rwbﻮ wlA trAtmwn qAly lAzm >wbﻴﺮAsywn ElY Aﻟqlb,qlt lh blAk ndyr rwbﻮ wlA trAtmwn qAl ly lAzmAtk >wbﻴﺮAsywn ElY Aﻟqﻠﺐ,qlly Aldktwr bylzmk Emlyp jrAHyp E mstwY Alqlb,qAly Aldktwr blzmk Emlyp jrAHyp ElY mstwY Alqlb
mrt >yAm bdﺃt >Hs bAﻹrhAq w >lm fy qlby,jAzt lyAmAt bdyt nHs bAlf$lp w AlsTr fy qlby,EdAt AyAm bdyt nHs bAlf$lp w AlsTr fy qlby,qltl~w mA mmkn bs ArtAH w AtbE ElAj ql~y bylzmk Emlyp jrAHyp llqlb,qltlh m$ mmkn >rtAH bs >w >m$y ElY ElAj qAly blzmk Emlyp jrAHyp ElY mstwY Alqlb
Edt <lY AlTbyb,rjEt lTbyb,EdAt AyAm bdyt nHs bAlf$lp w AlsTr fy qlby,mrt >yAm w bl~$t Hs bAl<rhAq w wjE bqlby,mrt >yAm bdyt >Hs b<rhAq w >lm fy qlby
qAl ly yjb >n tjry >$Ep,rjEt lTbyb,rjEt llTbyb,rjEt lEnd AlHkym,rjEt lldktwr
qAl ly yjb >n tjry >$Ep,qAly lAzm tdyr rAdywwAt,qAl ly lAzmk Adyr rAdywyAt,qly lAzm tsAwy >$Ep,qAly lAzm tEml >$Ep
bEd mA >jryt AltHAlyl w Aﻷ$Ep >x*t mwEdA ky >dxl Almst$fY w >jry AlEmlyp AljrAHyp,bEdmA drt lyzAnAlyz w lyrAdyw Hkmt rwndyfw bA$ ndxl lsbyTAr ndyr lwbyrAsywn,bEd mA drt lyzAnAlyz w lyrAdyw Hkmt rwndyfw bAh ndxl llsbyTAr ndyr lwbyrAsywn,bEd mA Emlt AltHAlyl w Al>$Ep >xdt mwEd l>dxl Alm$fY w sAwy AlEmlyp AljrAHyp,bEd mA Emlt AltHAlyl w Al>$Ep >x*t mwEd E$An >fwt Almst$fY w >Eml AlEmlyp AljrAHyp
nhDt ElY AlsAEp AlsAbEp SbAHA ﺃx*t syArp ﺃjrp nHw Almst$fY,nDt ElY AlsbEp tAE AlSbAH Hkmt TAksy lsbyTAr,nDt ElY AlsbEp tAE AlSbAH Hkmt TAksy llsbyTAr,fqt E $y AlsAEp sbEp AlSbH w >xdt tksy EAlm$fY,SHyt ElY AlsAEp sbEp AlSbH >x*t syArp >jrp llmst$fY
jlst mE AlTbyb AljrAH Al*y syjry ly AlElmyp,qEdt mE Al$yrwjyAn ly rAH ydyrly lwbyrAsywn,qEdt mE Al$yrwjyAn Ally rAH ydyr ly lwbyrAsywn,qEdt mE Aldktwr AljrAH Ally rH ysAwyly AlEmlyp,qEdt mE Aldktwr AljrAH Ally rAH yEmly AlElmyp
f<*A bAlmmrD yqf End r>sy,ﻟqyt lfrmlyy wqf End rAsy,lqyt Alfrmlyy wqf End rAsy,qEdt mE Aldktwr AljrAH Ally rH ysAwyly AlEmlyp,flqyt AlmmrD wAqf End rAsy
tklm mEy flm ﺃjbh ، lAHZ ﺃnny mDTrb,hdr mEAyA mA jAwbtw$ $Afny bly rAny mqlq,hdr mEAyA mA jAwbtw$ $Afny mqlq,w <* bAlmmrD bywqf End rAsy,flqyt AlmmrD wAqf End rAsy
kAn yHml bydh <brp mnwmp،  mddt lh ydy,kAn rAfd fy ydw t$kp tAE lAnstyzy mdytlw ydy,kAn hAz fy ydh bykwrp tAE Albnj mdytlh ydy,HAkAny fmA jAwbtw w Antbh >ny mlb~k,HkY mEy wmA jAwbtw$ lAHZ Any mtwtr
*hbt <lY Tbyb AlEywn l>jry fHSA l>jl nZArAt Tbyp,rHt lwftAlmwlwﭪ bA$ ndyr fyzytp lAjAl nwAZr,kAn hAz fy ydh bykwrp tAE Albnj mdytlh ydy,kAn HAml b<ydw <brp txdyr md~ytlw <ydy,kAn $Ayl bAydh <brp mnwmp mdytlh Aydy
jlst fy qAEp AlAntZAr،  wjdt Alkvyr mn AlmrDY,rHt lwftAlmwlwﭪ bA$ ndyr fyzytp lAjAl nwAZr,rHt llwftAlmwlwﭪ bAh ndyr fyzytA w ElAjAl nwADr,rHt E dktwr AlEywn lsAwy fHS w m$An nDArAt Tbyp,rHt ldktwr AlEywn E$An yfHS w E$An AlnZArAt AlTbyp
jlst fy qAEp AlAntZAr،  wjdt Alkvyr mn AlmrDY,qEdt flAsAl dAtwnt ﻟqyt bzAf AlmrDY,qEdt fy lAsAl dAtwnt ﻟqﻴﺖ hk AlmrDY,qEdt bqAEp AlAntZAr w lAqyt ktyr mrDY,qEdt fy qAEp AlAntZAr wlqyt ktyr mn AlmrDY
mA Al*y jA' bk <lY hnA,wA$ jAbk hnA,w$ jAbk hnA,$w jAbk lhwn,Ay$ Ally jAbk hAn
j}t ﻷfHS Eyny ، >Hs b>lm w >ryd nZArAt,jyt bA$ ndyr fyzytA ElY Eyny twjEny w HAbp ndyr nwAZr,jyt bAh ndyr fyzytA ElY Eyny nswHA wjAE w HAbp ndyr nwADr,jAy >fHS Eyny Em Hs b>lm w bdy nDArAt,>jyt E$An >fHS Eyny bHs b>lm w bdy nZArAt
>nt Sgyrp w >tyt lwDE AlnZArAt,ntyA Sgyrp w jyty tdyry nwAZr,AntyA Sgyrp w jyty <dyry nwADr,>nt Sgyrp w jAy tHTy kzlwk,Ant Sgyrp w >jyty ltHTy AlnZArAt
<nhA nZArAt l>ryH Eyny l>nny TwAl Alywm >mAm AlHAswb,nwAZr gyr bA$ nrwbﻮzy EynyA ElAxATr$ nhAr kAml w >nA qdAm lmykrw,ﺁm nwADr gyr bAh nrwbﻮzy EynyA xATrmAk$ nhAr kAml w >nA qdAm Almykrw,>nt Sgyrp w jAy tHTy kzlwk,h*h nZArAt E$An >ryH Eyny l>ny Twl Alywm qdAm Alkmbywtr
tdrsyn؟,tqrAy,tqrAy,hAd kzlwk lry~H Eyny l>ny kl Alywm qd~Am Alkmbywtr,h*h nZArAt E$An >ryH Eyny l>ny Twl Alywm qdAm Alkmbywtr
nEm,Ayh,|h,btdrsy,btdrsy
fy >y snp؟,wA$ mn EAm,|h,<y,Ah
snp >wlY jAmEy,wA$ mn EAm,w$ mn EAm,b>y snp,fy >y snp
snp >wlY jAmEy,bﺮwmyAr Any <ynyfArsytAr,bﺮwmyAr Any <ynyfArsytAr,snp >wlY jAmEp,snp >wlY jAmEyp
dEk mn AljAmEp ، ywjd bhA AlEdyd mn Alm$Akl,xlyk mn lAfAk fyhA m$Akl bzAf,xlyk mn lAfAk fyhA m$Akl yAsr,Atrkk mn AljAmEp fy~A ktyr m$Akl,sybk mn AljAmEp fyhA m$Akl ktyrp
zyAdp En h*A End txrjk ln tjdy EmlA,>wﻣﭙﻠﻮs ky tkmly mA ﺗﻠqAy$ xdmp,>wﻣﭙﻠﻮs ky ttxrjy mA ﺗﻠqﺎy$ Alxdmp,w fwq hAd w kl~w lmA bttxr~jy mA HtlA}y $gl,gyr hyk lmA ttxrjy mA rAH tlAqy $gl
kl ywm nrY kmA hA}lA mn Al$bAb xryjy AljAmEAt EATlyn En AlEml,nhAr kAml w HnA n$wfw $HAl mn lyjwn mtxrjyn mn lAfAk $wmwr,kl ywm n$wfwA qdAh mn lyjwn mtxrjyn mn lAfAk $wmArp,kl ywm mn$wf ktyr mn hAl$bAb Almtxrjyn mn AljAmEAt w |Edyn blA $gl,kl ywm bn$wf kmyp mn Al$bAb xryjyn AljAmEAt EATlyn En AlEml
smEt >nhm >EdwA EqwdA lmsAEdp Al$bAb xryjy AljAmEAt,smEt bly dArw lykwntrA bA$ yEAwnw lyjwn ly mtxrjyn mn lAfAk,smEt bAlly dArwA lykwntrA bAh yEAwnwA lyjwn Ally mtxrjyn mn lAfAk,kl ywm mn$wf ktyr mn hAl$bAb Almtxrjyn mn AljAmEAt w |Edyn blA $gl,smEt Anhm wfrwA Eqwd lmsAEdp Al$bAb xryjyn AljAmEAt
qAl lnA wAldh Al*y yfwq Emrh AlsAdsp w Alstwn >n Abnh >nhY AldrAsp bmstwY AltAsEp >sAsy w AltHq bmrkz Altkwyn Almhny,qAlnA bAbAh yfwt stp w styn snA bly wlydh kml lqrAyp nAfyAm ﺁny >wmbEd rAH lSwnTr,qAl lnA bAbAh Ally yfwt stp w styn snA bAlly wldh kml AlqrAyp nAfyAm ﺁny w mn bEd rAH llSwnTr,smEt >n~wn sAwwA Eqwd lmsAEdp Al$bAb Almtxrjyn mn AljAmEAt,smEt Anhm wfrwA Eqwd lmsAEdp Al$bAb xryjyn AljAmEAt
tHSl ElY dblwm AxtSAS mykAnykA w bqy bdwn Eml،  fymA bEd AltHq bAlxdmp AlEskryp lmdp EAmyn,jAb dﻳﭙﻠﻮm ﺳﭙﻴﺴﻴﺎlyty mykAnyk qEd blA xdmp >wmbEd rAH llEskr jwz EAmyn,jAb dﻳﭙﻠﻮm ﺳﭙﻴﺴﻴﺎlyty mykAnyk qEd blA xdmp w mn bEd rAH llEskr ﻋqﺐ EAmyn,ql~nA >bwh Ally Emrw fwq AlstAwstyn snp >nw Abnw >xd AltAsE w dxl mrkz Altkwyn Almhny,qAlnA >bwh Ally EdY stp w styn snp Anh Abnh xlS AldrAsp bSf AltAsE >sAsy w dxl bmrkz Altkwyn Almhny
vm bEd Ewdth،  HAwl k>SdqA}h >n yjd EmlA lkn dwn jdwY,>wmbEd syA kymA SHAbw ylqY xdmp bSH blA fAydp,jAb dﻳﭙﻠﻮm ﺳﭙﻴﺴﻴﺎlyty mykAnyk qEd blA xdmp w mn bEd rAH llEskr ﻋqﺐ EAmyn,>xd $hAdp AxtSAS mykAnyk w Dl~w mn dwn $gl w bEdyn rAH Eskry sntyn,>xd dblwm AxtSAS mykAnykA w Dlh bdwn $gl wbEdyn dxl bAlxdmp AlEskryp lmdp sntyn
vm qAm bftH mHl,>wmbEd syA kymA SHAbw ylqY xdmp bSH blA fAydp,w mn bEd rwH jrb kymA SHAbh bAh ylqY xdmp bSH blA fAydp,w bEd mA tsr~H HAwl mtl rfqAtw ylAqy $gl bs mA m$y AlHAl,wbEd mA rjE HAwl zy SHAbh Anh ylAqy $gl bs bdwn fAydp
vm qAm bftH mHl,>wmbEd Hl HAnwt,w mn bEd Hl HAnwt,qAm ftH mHl,wbEdyhA ftH mHl
qbl wfAp mHmd kAn jmyE <xwth bdwn Eml،  Al>x Al>kbr AlbAlg mn AlEmr tsEp w E$rwn snp yEAny mn AlbTAlp w bdwn skn,qbl mA ymwt mHmd kAnw xAwtw qﺎE blA xdmp xwh Alkbyr Emrw tsEp w E$ryn snA $wmwr w blA dAr,qbl mA ymwt mHmd kAnwA xAwth Alkl blA xdmp Alxw Alkbyr Emrh tsEp w E$ryn snA $wmAr w blA sknp,qbl wfAp mHmd kl >xwtw kAnwA blA $gl >xwh Alkbyr Emrw tsEp w E$ryn snp w mA Endw lA $gl w lA skn,qbl wfAp mHmd kAn kl <xwth bdwn $gl Al>x Al>kbr Ally Emrh tsEp w E$ryn snp m$ lAqy $gl w f$ Endh byt
<*A kmA qlt lk yA >myrp ، lqd >SbHt HyAtnA shlp bfDl AltTwr Altknwlwjy,mAlA kymA qltlk  >myrp dnyA tAEnA wlAt ﺳAfﺎ dwk mE lAtknwlwjy,mAlp kymA qlt lk > >myrp AldnyA tyEnA wlAt sAhlp mE lAtknwlwjy,f<*A mtl mA Em ql~k yA >myrp HyAtnA SArt >shl bfDl AltTwr Altknwlwjy,<*A zy mA qltlk yA >myrp SArt HyAtnA shlp bfDl AltTwr Altknwlwjy
SHyH >n Alzmn tgyr w >SbH fyh Alkvyr mn Alm$Akl,SH wqtnA mA$y mlyH bﺮAbﻮr llm$Akl ly fyh w kl$,SH wqtnA m$ mlyH bﺮAbﻮr ElY Alm$Akl Ally fyh,SHy >nw Alzmn tgyr w SAr fy ktyr m$Akl,mzbwT Anh Alzmn tgyr w SAr fyh ktyr mn Alm$Akl
lkn fy Alqdym lm tkn AlHyAp shlp kmA fy wqtnA AlHADr,bSH bkry mA kAnt$ AldnyA sAhlp kymA wqtnA hAdA,bSH bkry mkAnt$ AldnyA sAhlp kymA wqtnA >dA,SHy >nw Alzmn tgyr w SAr fy ktyr m$Akl,lkn qbl mA kAnt$ AlHyAp shlp zy mA fy wqtnA hlqyt
fy AlmADy kAn gsyl AlvyAb mDnyA,bkry bA$ ygslw AlHwAyj yEyAw mEAhm,bkry b$ ygslwA Alq$ ytEbwA fyh,bs bAlmADy mA kAnt AlHyAp shlp mtl hl~},lkn qbl mA kAnt$ AlHyAp shlp zy mA fy wqtnA hlqyt
w AlTEAm yThY ElY Aljmr,b$ yTybw lAzm fwq Aljmr,b$ yTybwA lAzm fwq Aljmr,bAlmADy kAn gsyl AltyAb mSybp,qbl kAn gsyl Al>wAEy bytEb
w HtY >nhm kAnwA yqDwn >yAmA kAmlp fy Alsfr ElY Al>qdAm llwSwl <lY mkAn mA,b$ ydbﻼsAw mn blASA lblASA yrwHw >bﻴﻲ bAlyAmAt bA$ ylHqw,b$ yTybwA lAzm fwq Aljmr,w Al>kl yTbxwh EAljmr,w AlAkl bynTbx ElY Aljmr
lys kmA hw AlHAl Al|n Hyv tTwr kl $y',b$ ydbﻼsAw mn blASA lblASA yrwHw >bﻴﻲ bAlyAmAt bA$ ylHqw,b$ ydbﻼsywA mn blASA lblASA yrwHw >bﻴﻲ bAlyAmAt bAh ywSlwA,w HtY >nwn kAnwA ymD~wA >yAm kAmlp bAlsfr EAlrjlyn lyrwHwA mn mHl lmHl,w HtY Anhm kAnw yqDwA >yAm bHAlhA fy Alsfr ElY rjlyhm E$An ywSlwA lmkAn mEyn
lys kmA hw AlHAl Al|n Hyv tTwr kl $y',mA$y kymA wqtnA HnA dwk ATwrt AlHAlp,m$ kymA wqtnA HnA drk ATwrt AlHAlp,mw mtl Alywm Alywm kl $y tTwr,m$ zy mA hw AlHAl hlqyt tTwr kl A$y
lys kmA fy AlsAbq,mA$y kymA bkry,m$ kymA bkry,mw mtl >wl,m$ zy qbl
Al|n ywjd AltlfAz w AlHAswb w kl $y'  <*A tTwr mlHwZ,dwkA kAyn Altlyfzywn Almykrw>rdynAtwr w kl$ dwk tTwr mlHwZ,drkA kAyn Altlyfzywn Almykrw>rdynAtwr w kl$ dwnk tTwr mlHwZ,Alywm fy tlfzywn w kmbywtr w kl $y mEnAtA fy tTwr mlHwZ,hlqyt fy Altlfzywn w Alkmbywtr w kl A$y <*n tTwr mlHwZ
SHyH ، wAllh tTwr mlHwZ,SH wAllh tTwr mlHwZ,SH wAllh tTwr mlHwZ,SHy w Allh tTwr mlHwZ,mzbwT wAllh tTwr mlHwZ
fy wqtnA h*A >SbH kl $y' shlA,dwk kl$ wlA sAhl fy wqtnA hAdA,drk kl$ wlY sAhl fy wqtnA >dA,SHy w Allh tTwr mlHwZ,fy wqtnA h*A SAr kl A$y shl
fy mA nt$Ark,HnA fA$ n$ArkwA,HnA nt$ArkwA fy wAh,b>yAmnA hy SAr kl $y shl,fy wqtnA h*A SAr kl A$y shl
nt$Ark fy fkrp mA,nt$ArkwA fy fkrp hkdA,nt$ArkwA fy fkrp >kA,b$w mnt$Ark,fy Ay$ nt$Ark
